lga_id,lga_name,total_pop,zone1_very_low,zone2_low,zone3_moderate,zone4_high,zone5_very_high,pct_high_very_high
14,LagosIsland,211225,0,69,84831,110334,15991,59.8
8,Eti-Osa,432884,0,0,177479,220677,34728,59.0
19,Shomolu,262688,0,196,122296,121422,18774,53.4
17,Ojo,693543,0,1473,336004,302354,53712,51.3
5,Apapa,236470,0,147,126706,92059,17557,46.4
13,Kosofe,447805,0,3514,243145,168447,32699,44.9
4,Amuwo Odofin,580018,0,26,325188,216932,37873,43.9
15,Mainland,234562,0,0,135354,88369,10839,42.3
9,Ibeju/Lekki,319275,0,16601,171081,110825,20768,41.2
20,Surulere,611291,0,23,366053,216968,28247,40.1
2,Ajeromi/Ifelodun,286601,0,0,178974,92902,14724,37.6
6,Badagary,790170,0,77944,455927,215416,40883,32.4
16,Mushin,254658,0,191,183314,64551,6601,27.9
18,Oshodi/Isolo,413485,0,7738,311315,84147,10285,22.8
7,Epe,230615,0,15601,164875,43193,6947,21.7
12,Ikorodu,1323434,0,159381,889893,242168,31991,20.7
3,Alimosho,1663634,8077,305010,1129640,206154,14753,13.3
11,Ikeja,488578,102,97576,344017,42391,4492,9.6
1,Agege,331694,0,37092,265231,26456,2915,8.9
10,Ifako/Ijaye,526243,3224,121451,367843,32754,971,6.4
